accuracy,precision,recall,f1_score,f2_score,best_threshold,tp,tn,fp,fn,ml_type,balance_method,dataset
0.8047650562541363,0.6851294400963275,0.9443983402489626,0.7941381716678297,0.877950933497917,0.13,1138,1294,523,67,xgboost,weighted,under_sampled_residual_cnn_features_32.csv
0.8041032428855063,0.6832038254632397,0.9485477178423236,0.7943015983321752,0.8801786539350069,0.11,1143,1287,530,62,xgboost,weighted,under_sampled_residual_cnn_features_64.csv
0.8295830575777631,0.7203065134099617,0.9360995850622408,0.8141465175027066,0.8831819605386784,0.13,1128,1379,438,77,xgboost,weighted,under_sampled_residual_cnn_features_128.csv
0.8587028457974851,0.770891364902507,0.9186721991701244,0.8383188186293071,0.8847506393861893,0.1699999999999999,1107,1488,329,98,xgboost,weighted,under_sampled_residual_cnn_features_256.csv
0.8087359364659166,0.6924493554327809,0.9360995850622408,0.7960479887085392,0.8745541944487517,0.1499999999999999,1128,1316,501,77,rf,normal,under_sampled_residual_cnn_features_32.csv
0.8405029781601588,0.7342838626053143,0.9402489626556016,0.8245997088791849,0.8903033160458903,0.13,1133,1407,410,72,xgboost,weighted,weighted_residual_cnn_features_32.csv
0.8064195896757115,0.6908866995073891,0.9311203319502076,0.7932131495227995,0.8705772811918063,0.1399999999999999,1122,1315,502,83,xgboost,weighted,weighted_residual_cnn_features_64.csv
0.8328921244209133,0.7249357326478149,0.9360995850622408,0.8170952553422673,0.8845671267252195,0.1399999999999999,1128,1389,428,77,xgboost,weighted,weighted_residual_cnn_features_128.csv
0.7951687624090007,0.6707459207459208,0.9551867219917012,0.7880862718247176,0.8805079559363526,0.11,1151,1252,565,54,xgboost,weighted,weighted_residual_cnn_features_256.csv
0.7895433487756452,0.6658892128279883,0.9477178423236514,0.7821917808219178,0.8737566947207345,0.11,1142,1244,573,63,rf,normal,under_sampled_residual_cnn_features_64.csv
0.8408338848444739,0.7455902306648575,0.9120331950207468,0.8204553938036581,0.873053701938354,0.12,1099,1442,375,106,svm,normal,normal_residual_cnn_features_128.csv
0.8272667107875579,0.7196141479099678,0.9286307053941908,0.8108695652173913,0.8776470588235294,0.1399999999999999,1119,1381,436,86,rf,normal,under_sampled_residual_cnn_features_128.csv
0.8424884182660489,0.7402768622280818,0.9319502074688796,0.8251285819250551,0.8860659618115828,0.1499999999999999,1123,1423,394,82,rf,normal,under_sampled_residual_cnn_features_256.csv
0.8074123097286565,0.687537627934979,0.9477178423236514,0.7969295184926727,0.8810368770251504,0.11,1142,1298,519,63,rf,normal,weighted_residual_cnn_features_32.csv
0.7892124420913302,0.6674528301886793,0.9394190871369296,0.7804205446397794,0.8686310620012277,0.1399999999999999,1132,1253,564,73,rf,normal,weighted_residual_cnn_features_64.csv
0.8070814030443415,0.6864508393285371,0.950207468879668,0.7970762269404803,0.8823982737361282,0.12,1145,1294,523,60,rf,normal,weighted_residual_cnn_features_128.csv
0.8024487094639312,0.6829121540312876,0.941908713692946,0.7917683990233694,0.8755013884603517,0.13,1135,1290,527,70,rf,normal,weighted_residual_cnn_features_256.csv
0.8474520185307743,0.7583333333333333,0.9062240663900416,0.8257088846880908,0.8722044728434505,0.12,1092,1469,348,113,svm,normal,normal_residual_cnn_features_256.csv
0.8262739907346128,0.7171136653895275,0.9319502074688796,0.8105377120173223,0.8792671468838084,0.1999999999999999,1123,1374,443,82,rf,under,normal_residual_cnn_features_32.csv
0.8401720714758438,0.7416331994645248,0.9195020746887966,0.821044831419044,0.8774152676591701,0.2599999999999999,1108,1431,386,97,rf,under,normal_residual_cnn_features_64.csv
0.8653209794837856,0.7858166189111748,0.9103734439834024,0.843521722414456,0.8824002574002574,0.1,1097,1518,299,108,svm,normal,over_sampled_residual_cnn_features_32.csv
0.814692256783587,0.7009345794392523,0.933609958506224,0.800711743772242,0.8754863813229572,0.2199999999999999,1125,1337,480,80,rf,under,normal_residual_cnn_features_128.csv
0.7951687624090007,0.6723529411764706,0.9485477178423236,0.7869191049913942,0.8765337423312883,0.1599999999999999,1143,1260,557,62,rf,under,normal_residual_cnn_features_256.csv
0.8219722038385175,0.7034777303233679,0.9568464730290456,0.8108298171589311,0.8925530267843319,0.1399999999999999,1153,1331,486,52,rf,under,over_sampled_residual_cnn_features_32.csv
0.8421575115817339,0.7423435419440746,0.925311203319502,0.8237901736239379,0.8818411894969946,0.12,1115,1430,387,90,svm,normal,over_sampled_residual_cnn_features_64.csv
0.842819324950364,0.7449664429530202,0.921161825726141,0.8237476808905381,0.8795562599049128,0.2899999999999999,1110,1437,380,95,rf,under,over_sampled_residual_cnn_features_64.csv
0.8226340172071476,0.7094552285535379,0.9402489626556016,0.8087080656673804,0.8828112825307777,0.1999999999999999,1133,1353,464,72,rf,under,over_sampled_residual_cnn_features_128.csv
